"formula","tool","exit_status","exit_code","time","states","edges","transitions","acc","scc","nondet_states","nondet_aut","complete_aut","automaton"
"(G((a) | (b))) | (G(F((a) | (G(!(b))))))","ltl3ba","ok",0,0.0074669,4,7,17,1,4,2,1,0,"HOA: v1 name: ""TGBA for ([]((a) || (b))) || ([](<>((a) || ([](!(b))))))"" States: 4 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 ""(G((a) || (b)) || GF((a) || G!((b))))"" [0 | 1] 3 {0} [t] 1 {0} State: 1 ""GF((a) || G!((b)))"" [!0] 1 [0] 1 {0} [!0&!1] 2 {0} State: 2 ""G!((b)) && GF((a) || G!((b)))"" [!1] 2 {0} State: 3 ""G((a) || (b))"" [0 | 1] 3 {0} --END--"
"(G((a) | (b))) | (G(F((a) | (G(!(b))))))","ltl3tela_alt","ok",0,0.00576732,3,6,14,2,3,1,1,0,"HOA: v1 States: 3 Start: 0 AP: 2 ""a"" ""b"" acc-name: Streett 1 Acceptance: 2 Fin(0) | Inf(1) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 [0 | 1] 1 [t] 2 State: 1 [0 | 1] 1 State: 2 [!0&!1] 2 [!0&1] 2 {0} [0] 2 {1} --END--"
"(G((a) | (b))) | (G(F((a) | (G(!(b))))))","ltl3tela","ok",0,0.0160572,2,5,8,2,2,0,0,1,"HOA: v1 States: 2 Start: 0 AP: 2 ""a"" ""b"" acc-name: Streett 1 Acceptance: 2 Fin(0) | Inf(1) properties: trans-labels explicit-labels trans-acc complete deterministic stutter-invariant --BODY-- State: 0 [0 | 1] 0 [!0&!1] 1 State: 1 [!0&!1] 1 [!0&1] 1 {0} [0] 1 {1} --END--"
"(G((a) | (b))) | (G(F((a) | (G(!(b))))))","ltl2tgba","ok",0,0.00755075,2,6,8,2,2,0,0,1,"HOA: v1 name: ""G(a | b) | F(G!b | GFa)"" States: 2 Start: 0 AP: 2 ""a"" ""b"" acc-name: Streett 1 Acceptance: 2 Fin(0) | Inf(1) properties: trans-labels explicit-labels trans-acc complete deterministic stutter-invariant --BODY-- State: 0 [0 | 1] 0 [!0&!1] 1 State: 1 [!0&!1] 1 [!0&1] 1 {0} [0&!1] 1 {1} [0&1] 1 {0 1} --END--"
"(G(a)) | (G(F(b)))","ltl3ba","ok",0,0.00905078,3,5,12,1,3,1,1,0,"HOA: v1 name: ""TGBA for ([](a)) || ([](<>(b)))"" States: 3 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 ""(G(a) || GF(b))"" [0] 2 {0} [t] 1 {0} State: 1 ""GF(b)"" [!1] 1 [1] 1 {0} State: 2 ""G(a)"" [0] 2 {0} --END--"
"(G(a)) | (G(F(b)))","ltl3tela_alt","ok",0,0.00676689,3,5,12,1,3,1,1,0,"HOA: v1 States: 3 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 [0] 1 [t] 2 State: 1 [0] 1 {0} State: 2 [!1] 2 [1] 2 {0} --END--"
"(G(a)) | (G(F(b)))","ltl3tela","ok",0,0.00666543,2,4,8,1,2,0,0,1,"HOA: v1 States: 2 Start: 1 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [!1] 0 [1] 0 {0} State: 1 [!0] 0 [0] 1 {0} --END--"
"(G(a)) | (G(F(b)))","ltl2tgba","ok",0,0.00456902,2,4,8,1,2,0,0,1,"HOA: v1 name: ""Ga | GFb"" States: 2 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc complete deterministic stutter-invariant --BODY-- State: 0 [0] 0 {0} [!0] 1 State: 1 [!1] 1 [1] 1 {0} --END--"
"F((a) | (G(F(b))))","ltl3ba","ok",0,0.00809462,3,6,14,2,3,1,1,1,"HOA: v1 name: ""TGBA for <>((a) || ([](<>(b))))"" States: 3 Start: 0 AP: 2 ""a"" ""b"" acc-name: generalized-Buchi 2 Acceptance: 2 Inf(0)&Inf(1) properties: trans-labels explicit-labels trans-acc complete --BODY-- State: 0 ""F((a) || GF(b))"" [0] 2 {0 1} [!0] 1 {0 1} [!0] 0 {0} State: 1 ""GF(b)"" [!1] 1 {1} [1] 1 {0 1} State: 2 ""t"" [t] 2 {0 1} --END--"
"F((a) | (G(F(b))))","ltl3tela_alt","ok",0,0.00481172,2,4,9,2,2,1,1,1,"HOA: v1 States: 2 Start: 0 AP: 2 ""a"" ""b"" acc-name: Streett 1 Acceptance: 2 Fin(0) | Inf(1) properties: trans-labels explicit-labels trans-acc complete --BODY-- State: 0 [!0&!1] 0 {0} [1] 0 {1} [0] 1 State: 1 [t] 1 --END--"
"F((a) | (G(F(b))))","ltl3tela","ok",0,0.00584446,2,4,8,1,2,0,0,1,"HOA: v1 States: 2 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [!0&!1] 0 [!0&1] 0 {0} [0] 1 State: 1 [t] 1 {0} --END--"
"F((a) | (G(F(b))))","ltl2tgba","ok",0,0.00487879,2,4,8,1,2,0,0,1,"HOA: v1 name: ""GFb | Fa"" States: 2 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc complete deterministic stutter-invariant --BODY-- State: 0 [!0&!1] 0 [!0&1] 0 {0} [0] 1 State: 1 [t] 1 {0} --END--"
"G(F(((a) & ((!(a)) | (b))) | (G(F(b)))))","ltl3ba","ok",0,0.00820508,2,5,11,2,2,1,1,1,"HOA: v1 name: ""TGBA for [](<>(((a) && ((!(a)) || (b))) || ([](<>(b)))))"" States: 2 Start: 0 AP: 2 ""a"" ""b"" acc-name: generalized-Buchi 2 Acceptance: 2 Inf(0)&Inf(1) properties: trans-labels explicit-labels trans-acc complete --BODY-- State: 0 ""GF(((a) && (!((a)) || (b))) || GF(b))"" [!0 | !1] 0 {0} [0&1] 0 {0 1} [!0 | !1] 1 {0 1} State: 1 ""GF(b) && GF(((a) && (!((a)) || (b))) || GF(b))"" [!1] 1 {1} [1] 1 {0 1} --END--"
"G(F(((a) & ((!(a)) | (b))) | (G(F(b)))))","ltl3tela_alt","ok",0,0.00510931,1,4,7,4,1,1,1,1,"HOA: v1 States: 1 Start: 0 AP: 2 ""a"" ""b"" Acceptance: 4 (Fin(0) | Inf(3)) & (Fin(1) | Inf(2)) properties: trans-labels explicit-labels trans-acc colored complete --BODY-- State: 0 [!1] 0 {0} [!1] 0 {1} [1] 0 {2} [0&1] 0 {3} --END--"
"G(F(((a) & ((!(a)) | (b))) | (G(F(b)))))","ltl3tela","ok",0,0.00656965,1,2,2,1,1,0,0,1,"HOA: v1 States: 1 Start: 0 AP: 1 ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [!0] 0 [0] 0 {0} --END--"
"G(F(((a) & ((!(a)) | (b))) | (G(F(b)))))","ltl2tgba","ok",0,0.00451287,1,2,2,1,1,0,0,1,"HOA: v1 name: ""GFb"" States: 1 Start: 0 AP: 1 ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc complete deterministic stutter-invariant --BODY-- State: 0 [!0] 0 [0] 0 {0} --END--"
"F(((G(a)) & (F(G(!(b))))) | ((G(F(b))) & (F(!(a)))))","ltl3ba","ok",0,0.00767261,5,11,22,4,5,2,1,0,"HOA: v1 name: ""TGBA for <>((([](a)) && (<>([](!(b))))) || (([](<>(b))) && (<>(!(a)))))"" States: 5 Start: 0 AP: 2 ""a"" ""b"" acc-name: generalized-Buchi 4 Acceptance: 4 Inf(0)&Inf(1)&Inf(2)&Inf(3) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 ""F((G(a) && FG!((b))) || (GF(b) && F!((a))))"" [0] 3 {1 2 3} [!0] 2 {0 1 2 3} [0] 1 {0 1 3} [t] 0 {0 1 2} State: 1 ""GF(b) && F!((a))"" [!0] 2 {0 1 2 3} [0] 1 {0 1 3} State: 2 ""GF(b)"" [!1] 2 {0 2 3} [1] 2 {0 1 2 3} State: 3 ""G(a) && FG!((b))"" [0&!1] 4 {0 1 2 3} [0] 3 {1 2 3} State: 4 ""G(a) && G!((b))"" [0&!1] 4 {0 1 2 3} --END--"
