"formula","tool","exit_status","exit_code","time","states","edges","transitions","acc","scc","nondet_states","nondet_aut","complete_aut","automaton"
"(a) & (G(F(b)))","ltl3ba","ok",0,0.00743289,2,3,6,1,2,0,0,0,"HOA: v1 name: ""TGBA for (a) && ([](<>(b)))"" States: 2 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc deterministic --BODY-- State: 0 ""((a) && GF(b))"" [0] 1 {0} State: 1 ""GF(b)"" [!1] 1 [1] 1 {0} --END--"
"(a) & (G(F(b)))","ltl3tela_alt","ok",0,0.00615889,2,3,6,1,2,0,0,0,"HOA: v1 States: 2 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc deterministic --BODY-- State: 0 [0] 1 State: 1 [!1] 1 [1] 1 {0} --END--"
"(a) & (G(F(b)))","ltl3tela","ok",0,0.00501938,2,3,6,1,2,0,0,0,"HOA: v1 States: 2 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc deterministic --BODY-- State: 0 [0] 1 State: 1 [!1] 1 [1] 1 {0} --END--"
"(a) & (G(F(b)))","ltl2tgba","ok",0,0.00420425,2,3,6,1,2,0,0,0,"HOA: v1 name: ""a & GFb"" States: 2 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc deterministic stutter-invariant --BODY-- State: 0 [0] 1 State: 1 [!1] 1 [1] 1 {0} --END--"
"(a) & (F((G(b)) | ((!(a)) & (F(c))) | ((a) & (G(!(c))))))","ltl3ba","ok",0,0.00778052,6,13,47,2,6,2,1,0,"HOA: v1 name: ""TGBA for (a) && (<>(([](b)) || ((!(a)) && (<>(c))) || ((a) && ([](!(c))))))"" States: 6 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: generalized-Buchi 2 Acceptance: 2 Inf(0)&Inf(1) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 ""((a) && F((G(b) || (!((a)) && F(c))) || ((a) && G!((c)))))"" [0&1] 5 {0 1} [0&!2] 4 {0 1} [0] 1 {0} State: 1 ""F((G(b) || (!((a)) && F(c))) || ((a) && G!((c))))"" [!0&2] 3 {0 1} [0&1 | 1&!2] 5 {0 1} [!0&!2] 2 {1} [0&!2] 4 {0 1} [0 | !2] 1 {0} State: 2 ""F(c)"" [2] 3 {0 1} [!2] 2 {1} State: 3 ""t"" [t] 3 {0 1} State: 4 ""G!((c))"" [!2] 4 {0 1} State: 5 ""G(b)"" [1] 5 {0 1} --END--"
"(a) & (F((G(b)) | ((!(a)) & (F(c))) | ((a) & (G(!(c))))))","ltl3tela_alt","ok",0,0.0059076,5,11,38,2,5,2,1,0,"HOA: v1 States: 5 Start: 0 AP: 3 ""a"" ""b"" ""c"" Acceptance: 2 Fin(0) & Fin(1) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 [0&!2] 1 [0] 2 State: 1 [!2] 1 State: 2 [0&!2] 1 [0&1 | 1&!2] 2 [0&!1 | !1&!2] 2 {0} [!0&!2] 3 [!0&2] 4 State: 3 [!2] 3 {1} [2] 4 State: 4 [t] 4 --END--"
"(a) & (F((G(b)) | ((!(a)) & (F(c))) | ((a) & (G(!(c))))))","ltl3tela","ok",0,0.0225889,5,17,36,2,4,0,0,0,"HOA: v1 States: 5 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: generalized-co-Buchi 2 Acceptance: 2 Fin(0)|Fin(1) properties: trans-labels explicit-labels trans-acc deterministic --BODY-- State: 0 [0&2] 1 [0&!2] 2 State: 1 [0&1&2] 1 {0} [0&!1&2] 1 {0 1} [0&1&!2] 2 [0&!1&!2] 2 {1} [!0&!2] 3 [!0&2] 4 State: 2 [0&1&2] 1 {0} [0&!1&2] 1 {0 1} [0&1&!2] 2 [0&!1&!2] 2 {1} [!0] 4 State: 3 [!0&1&!2] 3 {0} [!0&!1&!2] 3 {0 1} [0 | 2] 4 State: 4 [t] 4 --END--"
"(a) & (F((G(b)) | ((!(a)) & (F(c))) | ((a) & (G(!(c))))))","ltl2tgba","ok",0,0.00741212,7,15,56,1,7,3,1,0,"HOA: v1 name: ""a & (F((!a & Fc) | (a & G!c)) | FGb)"" States: 7 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels state-acc stutter-invariant very-weak --BODY-- State: 0 [0&1] 1 [0&!2] 2 [0] 3 [0] 4 State: 1 {0} [1] 1 State: 2 {0} [!2] 2 State: 3 [0&!2] 2 [0 | !2] 3 [!0&2] 5 [!0&!2] 6 State: 4 [1] 1 [t] 4 State: 5 {0} [t] 5 State: 6 [0&2] 5 [0&!2] 6 --END--"
"F(G(a))","ltl3ba","ok",0,0.00695199,2,3,4,1,2,1,1,0,"HOA: v1 name: ""TGBA for <>([](a))"" States: 2 Start: 0 AP: 1 ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 ""FG(a)"" [0] 1 {0} [t] 0 State: 1 ""G(a)"" [0] 1 {0} --END--"
"F(G(a))","ltl3tela_alt","ok",0,0.00496292,1,2,2,1,1,0,0,1,"HOA: v1 States: 1 Start: 0 AP: 1 ""a"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [0] 0 [!0] 0 {0} --END--"
"F(G(a))","ltl3tela","ok",0,0.00365259,1,2,2,1,1,0,0,1,"HOA: v1 States: 1 Start: 0 AP: 1 ""a"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [0] 0 [!0] 0 {0} --END--"
"F(G(a))","ltl2tgba","ok",0,0.00419814,1,2,2,1,1,0,0,1,"HOA: v1 name: ""FGa"" States: 1 Start: 0 AP: 1 ""a"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc complete deterministic stutter-invariant --BODY-- State: 0 [0] 0 [!0] 0 {0} --END--"
"X((a) & (G(F(b))))","ltl3ba","ok",0,0.00806003,3,4,10,1,3,0,0,0,"HOA: v1 name: ""TGBA for X((a) && ([](<>(b))))"" States: 3 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc deterministic --BODY-- State: 0 ""X (((a) && GF(b)))"" [t] 1 {0} State: 1 ""((a) && GF(b))"" [0] 2 {0} State: 2 ""GF(b)"" [!1] 2 [1] 2 {0} --END--"
"X((a) & (G(F(b))))","ltl3tela_alt","ok",0,0.00464814,3,4,10,1,3,0,0,0,"HOA: v1 States: 3 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc deterministic --BODY-- State: 0 [t] 1 State: 1 [0] 2 State: 2 [!1] 2 [1] 2 {0} --END--"
"X((a) & (G(F(b))))","ltl3tela","ok",0,0.00573524,3,4,10,1,3,0,0,0,"HOA: v1 States: 3 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc deterministic --BODY-- State: 0 [t] 1 State: 1 [0] 2 State: 2 [!1] 2 [1] 2 {0} --END--"
"X((a) & (G(F(b))))","ltl2tgba","ok",0,0.00462365,3,4,10,1,3,0,0,0,"HOA: v1 name: ""GFb & Xa"" States: 3 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc deterministic --BODY-- State: 0 [t] 1 State: 1 [0] 2 State: 2 [!1] 2 [1] 2 {0} --END--"
"(G(a)) | (F(G(b)))","ltl3ba","ok",0,0.00719318,4,6,16,1,4,2,1,0,"HOA: v1 name: ""TGBA for ([](a)) || (<>([](b)))"" States: 4 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 ""(G(a) || FG(b))"" [0] 3 {0} [t] 1 State: 1 ""FG(b)"" [1] 2 {0} [t] 1 State: 2 ""G(b)"" [1] 2 {0} State: 3 ""G(a)"" [0] 3 {0} --END--"
"(G(a)) | (F(G(b)))","ltl3tela_alt","ok",0,0.00460413,3,5,12,1,3,1,1,0,"HOA: v1 States: 3 Start: 0 AP: 2 ""a"" ""b"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 [0] 1 [t] 2 State: 1 [0] 1 State: 2 [1] 2 [!1] 2 {0} --END--"
"(G(a)) | (F(G(b)))","ltl3tela","ok",0,0.00609058,2,4,8,1,2,0,0,1,"HOA: v1 States: 2 Start: 0 AP: 2 ""a"" ""b"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc complete deterministic stutter-invariant --BODY-- State: 0 [0] 0 [!0] 1 State: 1 [1] 1 [!1] 1 {0} --END--"
"(G(a)) | (F(G(b)))","ltl2tgba","ok",0,0.00439617,2,4,8,1,2,0,0,1,"HOA: v1 name: ""Ga | FGb"" States: 2 Start: 0 AP: 2 ""a"" ""b"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc complete deterministic stutter-invariant --BODY-- State: 0 [0] 0 [!0] 1 State: 1 [1] 1 [!1] 1 {0} --END--"
"X(F((a) | (G(b))))","ltl3ba","ok",0,0.00794428,4,6,15,1,4,1,1,0,"HOA: v1 name: ""TGBA for X(<>((a) || ([](b))))"" States: 4 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 ""X (F((a) || G(b)))"" [t] 1 State: 1 ""F((a) || G(b))"" [0] 3 {0} [!0&1] 2 {0} [!0] 1 State: 2 ""G(b)"" [1] 2 {0} State: 3 ""t"" [t] 3 {0} --END--"
"X(F((a) | (G(b))))","ltl3tela_alt","ok",0,0.00524451,3,5,12,1,3,0,0,1,"HOA: v1 States: 3 Start: 0 AP: 2 ""a"" ""b"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [t] 1 State: 1 [!0&1] 1 [!0&!1] 1 {0} [0] 2 State: 2 [t] 2 --END--"
"X(F((a) | (G(b))))","ltl3tela","ok",0,0.00680999,3,5,12,1,3,0,0,1,"HOA: v1 States: 3 Start: 0 AP: 2 ""a"" ""b"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [t] 1 State: 1 [!0&1] 1 [!0&!1] 1 {0} [0] 2 State: 2 [t] 2 --END--"
"X(F((a) | (G(b))))","ltl2tgba","ok",0,0.00511643,3,5,12,1,3,0,0,1,"HOA: v1 name: ""FGb | XFa"" States: 3 Start: 0 AP: 2 ""a"" ""b"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [t] 1 State: 1 [!0&1] 1 [!0&!1] 1 {0} [0] 2 State: 2 [t] 2 --END--"
"(G(b)) | (F(G(a)))","ltl3ba","ok",0,0.00767067,4,6,16,1,4,2,1,0,"HOA: v1 name: ""TGBA for ([](b)) || (<>([](a)))"" States: 4 Start: 0 AP: 2 ""b"" ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 ""(G(b) || FG(a))"" [0] 3 {0} [t] 1 State: 1 ""FG(a)"" [1] 2 {0} [t] 1 State: 2 ""G(a)"" [1] 2 {0} State: 3 ""G(b)"" [0] 3 {0} --END--"
"(G(b)) | (F(G(a)))","ltl3tela_alt","ok",0,0.00514241,3,5,12,1,3,1,1,0,"HOA: v1 States: 3 Start: 0 AP: 2 ""b"" ""a"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 [0] 1 [t] 2 State: 1 [0] 1 State: 2 [1] 2 [!1] 2 {0} --END--"
"(G(b)) | (F(G(a)))","ltl3tela","ok",0,0.006008,2,4,8,1,2,0,0,1,"HOA: v1 States: 2 Start: 0 AP: 2 ""b"" ""a"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc complete deterministic stutter-invariant --BODY-- State: 0 [0] 0 [!0] 1 State: 1 [1] 1 [!1] 1 {0} --END--"
"(G(b)) | (F(G(a)))","ltl2tgba","ok",0,0.00549783,2,4,8,1,2,0,0,1,"HOA: v1 name: ""Gb | FGa"" States: 2 Start: 0 AP: 2 ""b"" ""a"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc complete deterministic stutter-invariant --BODY-- State: 0 [0] 0 [!0] 1 State: 1 [1] 1 [!1] 1 {0} --END--"
"X((a) & (F(G(b))))","ltl3ba","ok",0,0.00821783,4,5,14,1,4,1,1,0,"HOA: v1 name: ""TGBA for X((a) && (<>([](b))))"" States: 4 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 ""X (((a) && FG(b)))"" [t] 1 {0} State: 1 ""((a) && FG(b))"" [0] 2 State: 2 ""FG(b)"" [1] 3 {0} [t] 2 State: 3 ""G(b)"" [1] 3 {0} --END--"
"X((a) & (F(G(b))))","ltl3tela_alt","ok",0,0.00490235,3,4,10,1,3,0,0,0,"HOA: v1 States: 3 Start: 0 AP: 2 ""a"" ""b"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc deterministic --BODY-- State: 0 [t] 1 State: 1 [0] 2 State: 2 [1] 2 [!1] 2 {0} --END--"
"X((a) & (F(G(b))))","ltl3tela","ok",0,0.00617779,3,4,10,1,3,0,0,0,"HOA: v1 States: 3 Start: 0 AP: 2 ""a"" ""b"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc deterministic --BODY-- State: 0 [t] 1 State: 1 [0] 2 State: 2 [1] 2 [!1] 2 {0} --END--"
"X((a) & (F(G(b))))","ltl2tgba","ok",0,0.005425,3,4,10,1,3,0,0,0,"HOA: v1 name: ""FGb & Xa"" States: 3 Start: 0 AP: 2 ""a"" ""b"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc deterministic --BODY-- State: 0 [t] 1 State: 1 [0] 2 State: 2 [1] 2 [!1] 2 {0} --END--"
"(a) | (G((F(b)) & (F(c))))","ltl3ba","ok",0,0.00781459,3,7,24,2,3,0,0,1,"HOA: v1 name: ""TGBA for (a) || ([]((<>(b)) && (<>(c))))"" States: 3 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: generalized-Buchi 2 Acceptance: 2 Inf(0)&Inf(1) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 ""((a) || G(F(b) && F(c)))"" [0] 2 {0 1} [!0] 1 {0 1} State: 1 ""G(F(b) && F(c))"" [!1&!2] 1 [1&!2] 1 {0} [!1&2] 1 {1} [1&2] 1 {0 1} State: 2 ""t"" [t] 2 {0 1} --END--"
