"formula","tool","exit_status","exit_code","time","states","edges","transitions","acc","scc","nondet_states","nondet_aut","complete_aut","automaton"
"(G(a)) | (G(F(b)))","ltl3tela","ok",0,0.00534188,2,4,8,1,2,0,0,1,"HOA: v1 States: 2 Start: 1 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [!1] 0 [1] 0 {0} State: 1 [!0] 0 [0] 1 {0} --END--"
"(G(a)) | (G(F(b)))","ltl2tgba","ok",0,0.00412696,2,4,8,1,2,0,0,1,"HOA: v1 name: ""Ga | GFb"" States: 2 Start: 0 AP: 2 ""a"" ""b"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc complete deterministic stutter-invariant --BODY-- State: 0 [0] 0 {0} [!0] 1 State: 1 [!1] 1 [1] 1 {0} --END--"
"(G(a)) | (F((G(F(b))) | (G(c))))","ltl3ba","ok",0,0.00738896,5,9,48,2,5,2,1,0,"HOA: v1 name: ""TGBA for ([](a)) || (<>(([](<>(b))) || ([](c))))"" States: 5 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: generalized-Buchi 2 Acceptance: 2 Inf(0)&Inf(1) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 ""(G(a) || F(GF(b) || G(c)))"" [0] 4 {0 1} [t] 1 {0} State: 1 ""F(GF(b) || G(c))"" [t] 3 {0 1} [2] 2 {0 1} [t] 1 {0} State: 2 ""G(c)"" [2] 2 {0 1} State: 3 ""GF(b)"" [!1] 3 {1} [1] 3 {0 1} State: 4 ""G(a)"" [0] 4 {0 1} --END--"
"(G(a)) | (F((G(F(b))) | (G(c))))","ltl3tela_alt","ok",0,0.00549272,3,6,28,4,3,2,1,0,"HOA: v1 States: 3 Start: 0 AP: 3 ""a"" ""b"" ""c"" Acceptance: 4 (Fin(2)|Fin(3)) & (Fin(0) | Inf(1)) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 [0] 1 [t] 2 State: 1 [0] 1 State: 2 [2] 2 {2} [!1] 2 {0 3} [1] 2 {1 3} --END--"
"(G(a)) | (F((G(F(b))) | (G(c))))","ltl3tela","ok",0,0.0108595,2,5,16,2,2,0,0,1,"HOA: v1 States: 2 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: parity min even 2 Acceptance: 2 Inf(0) | Fin(1) properties: trans-labels explicit-labels trans-acc complete deterministic stutter-invariant --BODY-- State: 0 [0] 0 [!0] 1 State: 1 [!1&2] 1 [1] 1 {0} [!1&!2] 1 {1} --END--"
"(G(a)) | (F((G(F(b))) | (G(c))))","ltl2tgba","ok",0,0.00552726,2,5,16,2,2,0,0,1,"HOA: v1 name: ""Ga | F(GFb | Gc)"" States: 2 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: parity min even 2 Acceptance: 2 Inf(0) | Fin(1) properties: trans-labels explicit-labels trans-acc complete deterministic stutter-invariant --BODY-- State: 0 [0] 0 [!0] 1 State: 1 [!1&2] 1 [1] 1 {0} [!1&!2] 1 {1} --END--"
"F((G(b)) | (G(a)) | (G(F(c))))","ltl3ba","ok",0,0.00742311,4,8,40,2,4,1,1,0,"HOA: v1 name: ""TGBA for <>(([](b)) || ([](a)) || ([](<>(c))))"" States: 4 Start: 0 AP: 3 ""b"" ""a"" ""c"" acc-name: generalized-Buchi 2 Acceptance: 2 Inf(0)&Inf(1) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 ""F((G(b) || G(a)) || GF(c))"" [0] 3 {0 1} [1] 2 {0 1} [t] 1 {0 1} [t] 0 {0} State: 1 ""GF(c)"" [!2] 1 {1} [2] 1 {0 1} State: 2 ""G(a)"" [1] 2 {0 1} State: 3 ""G(b)"" [0] 3 {0 1} --END--"
"F((G(b)) | (G(a)) | (G(F(c))))","ltl3tela_alt","ok",0,0.00522418,1,4,16,5,1,1,1,1,"HOA: v1 States: 1 Start: 0 AP: 3 ""b"" ""a"" ""c"" Acceptance: 5 (Fin(2)|Fin(3)|Fin(4)) & (Fin(0) | Inf(1)) properties: trans-labels explicit-labels trans-acc complete --BODY-- State: 0 [!2] 0 {0 2 3} [2] 0 {1 2 3} [1] 0 {2 4} [0] 0 {3 4} --END--"
"F((G(b)) | (G(a)) | (G(F(c))))","ltl3tela","ok",0,0.0136255,1,8,8,3,1,0,0,1,"HOA: v1 States: 1 Start: 0 AP: 3 ""b"" ""a"" ""c"" Acceptance: 3 Inf(0) | (Fin(1)|Fin(2)) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [0&1&!2] 0 [0&1&2] 0 {0} [!0&1&!2] 0 {1} [!0&1&2] 0 {0 1} [0&!1&!2] 0 {2} [0&!1&2] 0 {0 2} [!0&!1&!2] 0 {1 2} [!0&!1&2] 0 {0 1 2} --END--"
"F((G(b)) | (G(a)) | (G(F(c))))","ltl2tgba","ok",0,0.00589442,1,8,8,3,1,0,0,1,"HOA: v1 name: ""F(Gb | Ga | GFc)"" States: 1 Start: 0 AP: 3 ""b"" ""a"" ""c"" Acceptance: 3 (Fin(1)|Fin(2)) | Inf(0) properties: trans-labels explicit-labels trans-acc complete deterministic stutter-invariant --BODY-- State: 0 [0&1&!2] 0 [0&1&2] 0 {0} [!0&1&!2] 0 {1} [!0&1&2] 0 {0 1} [0&!1&!2] 0 {2} [0&!1&2] 0 {0 2} [!0&!1&!2] 0 {1 2} [!0&!1&2] 0 {0 1 2} --END--"
"F(G((a) & (F(b))))","ltl3ba","ok",0,0.0070363,2,5,8,2,2,1,1,0,"HOA: v1 name: ""TGBA for <>([]((a) && (<>(b))))"" States: 2 Start: 0 AP: 2 ""a"" ""b"" acc-name: generalized-Buchi 2 Acceptance: 2 Inf(0)&Inf(1) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 ""FG((a) && F(b))"" [0&!1] 1 {1} [0&1] 1 {0 1} [t] 0 {0} State: 1 ""G((a) && F(b))"" [0&!1] 1 {1} [0&1] 1 {0 1} --END--"
"F(G((a) & (F(b))))","ltl3tela_alt","ok",0,0.00431819,1,4,4,2,1,0,0,1,"HOA: v1 States: 1 Start: 0 AP: 2 ""a"" ""b"" acc-name: Rabin 1 Acceptance: 2 Fin(0) & Inf(1) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [0&!1] 0 [!0&!1] 0 {0} [0&1] 0 {1} [!0&1] 0 {0 1} --END--"
