"formula","tool","exit_status","exit_code","time","states","edges","transitions","acc","scc","nondet_states","nondet_aut","complete_aut","automaton"
"F((G(b)) | (G(c)) | (G(d)) | (G(a)) | (G(e)))","ltl3tela","ok",0,0.149355,1,32,32,5,1,0,0,1,"HOA: v1 States: 1 Start: 0 AP: 5 ""b"" ""c"" ""d"" ""a"" ""e"" acc-name: generalized-co-Buchi 5 Acceptance: 5 Fin(0)|Fin(1)|Fin(2)|Fin(3)|Fin(4) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [!0&!1&!2&!3&!4] 0 {0 1 2 3 4} [!0&!1&!2&!3&4] 0 {0 1 2 3} [!0&!1&!2&3&!4] 0 {0 1 2 4} [!0&!1&!2&3&4] 0 {0 1 2} [!0&!1&2&!3&!4] 0 {0 1 3 4} [!0&!1&2&!3&4] 0 {0 1 3} [!0&!1&2&3&!4] 0 {0 1 4} [!0&!1&2&3&4] 0 {0 1} [!0&1&!2&!3&!4] 0 {0 2 3 4} [!0&1&!2&!3&4] 0 {0 2 3} [!0&1&!2&3&!4] 0 {0 2 4} [!0&1&!2&3&4] 0 {0 2} [!0&1&2&!3&!4] 0 {0 3 4} [!0&1&2&!3&4] 0 {0 3} [!0&1&2&3&!4] 0 {0 4} [!0&1&2&3&4] 0 {0} [0&!1&!2&!3&!4] 0 {1 2 3 4} [0&!1&!2&!3&4] 0 {1 2 3} [0&!1&!2&3&!4] 0 {1 2 4} [0&!1&!2&3&4] 0 {1 2} [0&!1&2&!3&!4] 0 {1 3 4} [0&!1&2&!3&4] 0 {1 3} [0&!1&2&3&!4] 0 {1 4} [0&!1&2&3&4] 0 {1} [0&1&!2&!3&!4] 0 {2 3 4} [0&1&!2&!3&4] 0 {2 3} [0&1&!2&3&!4] 0 {2 4} [0&1&!2&3&4] 0 {2} [0&1&2&!3&!4] 0 {3 4} [0&1&2&!3&4] 0 {3} [0&1&2&3&!4] 0 {4} [0&1&2&3&4] 0 --END--"
"F((G(b)) | (G(c)) | (G(d)) | (G(a)) | (G(e)))","ltl2tgba","ok",0,0.00749405,1,32,32,5,1,0,0,1,"HOA: v1 name: ""F(Gb | Gc | Gd | Ga | Ge)"" States: 1 Start: 0 AP: 5 ""b"" ""c"" ""d"" ""a"" ""e"" acc-name: generalized-co-Buchi 5 Acceptance: 5 Fin(0)|Fin(1)|Fin(2)|Fin(3)|Fin(4) properties: trans-labels explicit-labels trans-acc complete deterministic stutter-invariant --BODY-- State: 0 [0&1&2&3&4] 0 [!0&1&2&3&4] 0 {0} [0&!1&2&3&4] 0 {1} [!0&!1&2&3&4] 0 {0 1} [0&1&!2&3&4] 0 {2} [!0&1&!2&3&4] 0 {0 2} [0&!1&!2&3&4] 0 {1 2} [!0&!1&!2&3&4] 0 {0 1 2} [0&1&2&!3&4] 0 {3} [!0&1&2&!3&4] 0 {0 3} [0&!1&2&!3&4] 0 {1 3} [!0&!1&2&!3&4] 0 {0 1 3} [0&1&!2&!3&4] 0 {2 3} [!0&1&!2&!3&4] 0 {0 2 3} [0&!1&!2&!3&4] 0 {1 2 3} [!0&!1&!2&!3&4] 0 {0 1 2 3} [0&1&2&3&!4] 0 {4} [!0&1&2&3&!4] 0 {0 4} [0&!1&2&3&!4] 0 {1 4} [!0&!1&2&3&!4] 0 {0 1 4} [0&1&!2&3&!4] 0 {2 4} [!0&1&!2&3&!4] 0 {0 2 4} [0&!1&!2&3&!4] 0 {1 2 4} [!0&!1&!2&3&!4] 0 {0 1 2 4} [0&1&2&!3&!4] 0 {3 4} [!0&1&2&!3&!4] 0 {0 3 4} [0&!1&2&!3&!4] 0 {1 3 4} [!0&!1&2&!3&!4] 0 {0 1 3 4} [0&1&!2&!3&!4] 0 {2 3 4} [!0&1&!2&!3&!4] 0 {0 2 3 4} [0&!1&!2&!3&!4] 0 {1 2 3 4} [!0&!1&!2&!3&!4] 0 {0 1 2 3 4} --END--"
"F((G(a)) | (G(F(b))))","ltl3ba","ok",0,0.00616262,3,6,16,2,3,1,1,0,"HOA: v1 name: ""TGBA for <>(([](a)) || ([](<>(b))))"" States: 3 Start: 0 AP: 2 ""a"" ""b"" acc-name: generalized-Buchi 2 Acceptance: 2 Inf(0)&Inf(1) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 ""F(G(a) || GF(b))"" [0] 2 {0 1} [t] 1 {0 1} [t] 0 {0} State: 1 ""GF(b)"" [!1] 1 {1} [1] 1 {0 1} State: 2 ""G(a)"" [0] 2 {0 1} --END--"
"F((G(a)) | (G(F(b))))","ltl3tela_alt","ok",0,0.00425296,1,3,6,4,1,1,1,1,"HOA: v1 States: 1 Start: 0 AP: 2 ""a"" ""b"" Acceptance: 4 (Fin(2)|Fin(3)) & (Fin(0) | Inf(1)) properties: trans-labels explicit-labels trans-acc complete --BODY-- State: 0 [!1] 0 {0 2} [1] 0 {1 2} [0] 0 {3} --END--"
"F((G(a)) | (G(F(b))))","ltl3tela","ok",0,0.00617832,1,3,4,2,1,0,0,1,"HOA: v1 States: 1 Start: 0 AP: 2 ""a"" ""b"" acc-name: parity min even 2 Acceptance: 2 Inf(0) | Fin(1) properties: trans-labels explicit-labels trans-acc complete deterministic stutter-invariant --BODY-- State: 0 [0&!1] 0 [1] 0 {0} [!0&!1] 0 {1} --END--"
"F((G(a)) | (G(F(b))))","ltl2tgba","ok",0,0.00399001,1,3,4,2,1,0,0,1,"HOA: v1 name: ""F(Ga | GFb)"" States: 1 Start: 0 AP: 2 ""a"" ""b"" acc-name: parity min even 2 Acceptance: 2 Inf(0) | Fin(1) properties: trans-labels explicit-labels trans-acc complete deterministic stutter-invariant --BODY-- State: 0 [0&!1] 0 [1] 0 {0} [!0&!1] 0 {1} --END--"
"F((G((!(a)) & (!(b)))) | (G((F(a)) & (F(b)))))","ltl3ba","ok",0,0.00659394,3,8,14,3,3,1,1,0,"HOA: v1 name: ""TGBA for <>(([]((!(a)) && (!(b)))) || ([]((<>(a)) && (<>(b)))))"" States: 3 Start: 0 AP: 2 ""a"" ""b"" acc-name: generalized-Buchi 3 Acceptance: 3 Inf(0)&Inf(1)&Inf(2) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 ""F(G(!((a)) && !((b))) || G(F(a) && F(b)))"" [!0&!1] 2 {0 1 2} [t] 1 {0 1 2} [t] 0 {0 1} State: 1 ""G(F(a) && F(b))"" [!0&!1] 1 {2} [0&!1] 1 {0 2} [!0&1] 1 {1 2} [0&1] 1 {0 1 2} State: 2 ""G(!((a)) && !((b)))"" [!0&!1] 2 {0 1 2} --END--"
"F((G((!(a)) & (!(b)))) | (G((F(a)) & (F(b)))))","ltl3tela_alt","ok",0,0.00430574,1,5,5,6,1,1,1,1,"HOA: v1 States: 1 Start: 0 AP: 2 ""a"" ""b"" Acceptance: 6 (Fin(4)|Fin(5)) & (Fin(1) | Inf(3)) & (Fin(0) | Inf(2)) properties: trans-labels explicit-labels trans-acc complete --BODY-- State: 0 [!0&!1] 0 {0 1 4} [0&!1] 0 {1 2 4} [!0&1] 0 {0 3 4} [0&1] 0 {2 3 4} [!0&!1] 0 {5} --END--"
"F((G((!(a)) & (!(b)))) | (G((F(a)) & (F(b)))))","ltl3tela","ok",0,0.0113141,1,4,4,3,1,0,0,1,"HOA: v1 States: 1 Start: 0 AP: 2 ""a"" ""b"" Acceptance: 3 Fin(2) | (Inf(0)&Inf(1)) properties: trans-labels explicit-labels trans-acc complete deterministic stutter-invariant --BODY-- State: 0 [!0&!1] 0 [0&!1] 0 {0 2} [!0&1] 0 {1 2} [0&1] 0 {0 1 2} --END--"
"F((G((!(a)) & (!(b)))) | (G((F(a)) & (F(b)))))","ltl2tgba","ok",0,0.00475052,1,4,4,3,1,0,0,1,"HOA: v1 name: ""F(G(!a & !b) | G(Fa & Fb))"" States: 1 Start: 0 AP: 2 ""a"" ""b"" Acceptance: 3 Fin(2) | (Inf(0)&Inf(1)) properties: trans-labels explicit-labels trans-acc complete deterministic stutter-invariant --BODY-- State: 0 [!0&!1] 0 [0&!1] 0 {0 2} [!0&1] 0 {1 2} [0&1] 0 {0 1 2} --END--"
"F((G(b)) | (G(a)))","ltl3ba","ok",0,0.0066392,3,5,12,1,3,1,1,0,"HOA: v1 name: ""TGBA for <>(([](b)) || ([](a)))"" States: 3 Start: 0 AP: 2 ""b"" ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 ""F(G(b) || G(a))"" [0] 2 {0} [1] 1 {0} [t] 0 State: 1 ""G(a)"" [1] 1 {0} State: 2 ""G(b)"" [0] 2 {0} --END--"
"F((G(b)) | (G(a)))","ltl3tela_alt","ok",0,0.00449574,1,3,5,3,1,1,1,1,"HOA: v1 States: 1 Start: 0 AP: 2 ""b"" ""a"" Acceptance: 3 (Fin(1)|Fin(2)) & Fin(0) properties: trans-labels explicit-labels trans-acc colored complete --BODY-- State: 0 [!0&!1] 0 {0} [1] 0 {1} [0] 0 {2} --END--"
"F((G(b)) | (G(a)))","ltl3tela","ok",0,0.00618418,1,4,4,2,1,0,0,1,"HOA: v1 States: 1 Start: 0 AP: 2 ""b"" ""a"" acc-name: generalized-co-Buchi 2 Acceptance: 2 Fin(0)|Fin(1) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [!0&!1] 0 {0 1} [!0&1] 0 {0} [0&!1] 0 {1} [0&1] 0 --END--"
"F((G(b)) | (G(a)))","ltl2tgba","ok",0,0.00534294,1,4,4,2,1,0,0,1,"HOA: v1 name: ""F(Gb | Ga)"" States: 1 Start: 0 AP: 2 ""b"" ""a"" acc-name: generalized-co-Buchi 2 Acceptance: 2 Fin(0)|Fin(1) properties: trans-labels explicit-labels trans-acc complete deterministic stutter-invariant --BODY-- State: 0 [0&1] 0 [!0&1] 0 {0} [0&!1] 0 {1} [!0&!1] 0 {0 1} --END--"
"G((F(a)) & (F(b)) & (F(G(c))))","ltl3ba","ok",0,0.0081793,3,16,24,3,3,1,1,0,"HOA: v1 name: ""TGBA for []((<>(a)) && (<>(b)) && (<>([](c))))"" States: 3 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: generalized-Buchi 3 Acceptance: 3 Inf(0)&Inf(1)&Inf(2) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 ""G((F(a) && F(b)) && FG(c))"" [!0&!1] 1 [0&!1] 1 {0} [!0&1] 1 {1} [0&1] 1 {0 1} State: 1 ""F(a) && F(b) && FG(c) && G((F(a) && F(b)) && FG(c))"" [!0&!1&2] 2 {2} [0&!1&2] 2 {0 2} [!0&1&2] 2 {1 2} [0&1&2] 2 {0 1 2} [!0&!1] 1 [0&!1] 1 {0} [!0&1] 1 {1} [0&1] 1 {0 1} State: 2 ""F(a) && F(b) && G(c) && G((F(a) && F(b)) && FG(c))"" [!0&!1&2] 2 {2} [0&!1&2] 2 {0 2} [!0&1&2] 2 {1 2} [0&1&2] 2 {0 1 2} --END--"
"G((F(a)) & (F(b)) & (F(G(c))))","ltl3tela_alt","ok",0,0.00485882,1,8,8,3,1,0,0,1,"HOA: v1 States: 1 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: generalized-Rabin 1 2 Acceptance: 3 Fin(0) & (Inf(1)&Inf(2)) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [!0&!1&2] 0 [!0&!1&!2] 0 {0} [0&!1&2] 0 {1} [0&!1&!2] 0 {0 1} [!0&1&2] 0 {2} [!0&1&!2] 0 {0 2} [0&1&2] 0 {1 2} [0&1&!2] 0 {0 1 2} --END--"
"G((F(a)) & (F(b)) & (F(G(c))))","ltl3tela","ok",0,0.0141115,1,8,8,3,1,0,0,1,"HOA: v1 States: 1 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: generalized-Rabin 1 2 Acceptance: 3 Fin(0) & (Inf(1)&Inf(2)) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [!0&!1&2] 0 [!0&!1&!2] 0 {0} [0&!1&2] 0 {1} [0&!1&!2] 0 {0 1} [!0&1&2] 0 {2} [!0&1&!2] 0 {0 2} [0&1&2] 0 {1 2} [0&1&!2] 0 {0 1 2} --END--"
