"formula","tool","exit_status","exit_code","time","states","edges","transitions","acc","scc","nondet_states","nondet_aut","complete_aut","automaton"
"(G(F(a))) | ((b) & (G(F(c)))) | ((!(b)) & (F(G(!(c)))))","ltl3ba","ok",0,0.00839254,5,10,48,3,5,2,1,0,"HOA: v1 name: ""TGBA for ([](<>(a))) || ((b) && ([](<>(c)))) || ((!(b)) && (<>([](!(c)))))"" States: 5 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: generalized-Buchi 3 Acceptance: 3 Inf(0)&Inf(1)&Inf(2) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 ""((GF(a) || ((b) && GF(c))) || (!((b)) && FG!((c))))"" [t] 4 {0 1 2} [1] 3 {0 1 2} [!1] 1 {0 1} State: 1 ""FG!((c))"" [!2] 2 {0 1 2} [t] 1 {0 1} State: 2 ""G!((c))"" [!2] 2 {0 1 2} State: 3 ""GF(c)"" [!2] 3 {0 2} [2] 3 {0 1 2} State: 4 ""GF(a)"" [!0] 4 {1 2} [0] 4 {0 1 2} --END--"
"(G(F(a))) | ((b) & (G(F(c)))) | ((!(b)) & (F(G(!(c)))))","ltl3tela_alt","ok",0,0.00544364,4,9,40,5,4,1,1,1,"HOA: v1 States: 4 Start: 0 AP: 3 ""a"" ""b"" ""c"" Acceptance: 5 Fin(4) & (Fin(2) | Inf(3)) & (Fin(0) | Inf(1)) properties: trans-labels explicit-labels trans-acc complete --BODY-- State: 0 [t] 1 [1] 2 [!1] 3 State: 1 [!0] 1 {0} [0] 1 {1} State: 2 [!2] 2 {2} [2] 2 {3} State: 3 [!2] 3 [2] 3 {4} --END--"
"(G(F(a))) | ((b) & (G(F(c)))) | ((!(b)) & (F(G(!(c)))))","ltl3tela","ok",0,0.016822,3,10,24,3,3,0,0,1,"HOA: v1 States: 3 Start: 0 AP: 3 ""a"" ""b"" ""c"" Acceptance: 3 Fin(1) | Inf(0) | Inf(2) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [1] 1 [!1] 2 State: 1 [!0&!2] 1 {1} [!0&2] 1 {0 1} [0&!2] 1 {1 2} [0&2] 1 {0 1 2} State: 2 [!0&!2] 2 [!0&2] 2 {1} [0&!2] 2 {2} [0&2] 2 {1 2} --END--"
"(G(F(a))) | ((b) & (G(F(c)))) | ((!(b)) & (F(G(!(c)))))","ltl2tgba","ok",0,0.00820463,5,15,46,2,5,2,1,1,"HOA: v1 name: ""GFa | (b & GFc) | (!b & FG!c)"" States: 5 Start: 0 AP: 3 ""a"" ""b"" ""c"" Acceptance: 2 Inf(0) | Inf(1) properties: trans-labels explicit-labels trans-acc complete stutter-invariant --BODY-- State: 0 [1] 1 [!1&!2] 2 [!1] 3 State: 1 [!0&!2] 1 [!0&2] 1 {0} [0&!2] 1 {1} [0&2] 1 {0 1} State: 2 [!0&!2] 2 {0} [0&!2] 2 {0 1} [2] 4 State: 3 [!2] 2 [!0] 3 [0] 3 {1} State: 4 [!0] 4 [0] 4 {1} --END--"
"F(G(a))","ltl3ba","ok",0,0.00745086,2,3,4,1,2,1,1,0,"HOA: v1 name: ""TGBA for <>([](a))"" States: 2 Start: 0 AP: 1 ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 ""FG(a)"" [0] 1 {0} [t] 0 State: 1 ""G(a)"" [0] 1 {0} --END--"
"F(G(a))","ltl3tela_alt","ok",0,0.00584608,1,2,2,1,1,0,0,1,"HOA: v1 States: 1 Start: 0 AP: 1 ""a"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [0] 0 [!0] 0 {0} --END--"
"F(G(a))","ltl3tela","ok",0,0.00381638,1,2,2,1,1,0,0,1,"HOA: v1 States: 1 Start: 0 AP: 1 ""a"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [0] 0 [!0] 0 {0} --END--"
"F(G(a))","ltl2tgba","ok",0,0.00411811,1,2,2,1,1,0,0,1,"HOA: v1 name: ""FGa"" States: 1 Start: 0 AP: 1 ""a"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc complete deterministic stutter-invariant --BODY-- State: 0 [0] 0 [!0] 0 {0} --END--"
"(a) | (X((G(b)) | (F(G((c) & (F(d)))))))","ltl3ba","ok",0,0.00855317,6,11,96,2,6,2,1,0,"HOA: v1 name: ""TGBA for (a) || (X(([](b)) || (<>([]((c) && (<>(d)))))))"" States: 6 Start: 0 AP: 4 ""a"" ""b"" ""c"" ""d"" acc-name: generalized-Buchi 2 Acceptance: 2 Inf(0)&Inf(1) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 ""((a) || X ((G(b) || FG((c) && F(d)))))"" [0] 5 {0 1} [!0] 1 {0 1} State: 1 ""(G(b) || FG((c) && F(d)))"" [1] 4 {0 1} [t] 2 {0} State: 2 ""FG((c) && F(d))"" [2&!3] 3 {1} [2&3] 3 {0 1} [t] 2 {0} State: 3 ""G((c) && F(d))"" [2&!3] 3 {1} [2&3] 3 {0 1} State: 4 ""G(b)"" [1] 4 {0 1} State: 5 ""t"" [t] 5 {0 1} --END--"
"(a) | (X((G(b)) | (F(G((c) & (F(d)))))))","ltl3tela_alt","ok",0,0.0058144,5,10,80,3,5,1,1,0,"HOA: v1 States: 5 Start: 0 AP: 4 ""a"" ""b"" ""c"" ""d"" Acceptance: 3 Fin(1) & (Fin(0) | Inf(2)) properties: trans-labels explicit-labels trans-acc --BODY-- State: 0 [!0] 1 [0] 4 State: 1 [1] 2 [t] 3 State: 2 [1] 2 State: 3 [2&!3] 3 {0} [!2&!3] 3 {0 1} [2&3] 3 {2} [!2&3] 3 {1 2} State: 4 [t] 4 --END--"
