"formula","tool","exit_status","exit_code","time","states","edges","transitions","acc","scc","nondet_states","nondet_aut","complete_aut","automaton"
"((F(G(a))) & (((a) & ((G(b)) | (G(F(c))))) | ((!(a)) & (F(G(!(c)))) & (F(!(b)))))) | ((G(F(!(a)))) & (((a) & (F(G(!(c)))) & (F(!(b)))) | ((!(a)) & ((G(b)) | (G(F(c)))))))","fgmerg","ok",0,0.00598569,8,26,72,7,8,1,1,0,"HOA: v1 name: ""SLAA for (FGa & ((a & (Gb | GFc)) | (!a & F!b & FG!c))) | (GF!a & ((a & F!b & FG!c) | (!a & (Gb | GFc))))"" States: 8 Start: 0 AP: 3 ""a"" ""b"" ""c"" Acceptance: 7 (Inf(6) | Fin(5)) & Fin(4) & Fin(3) & (Inf(2) | Fin(1)) & Fin(0) properties: trans-labels explicit-labels trans-acc univ-branch --BODY-- State: 0 ""(FGa & ((a & (Gb | GFc)) | (!a & F!b & FG!c))) | (GF!a & ((a & F!b & FG!c) | (!a & (Gb | GFc))))"" [0&1] 1&2 [0&2] 1&3 [0&!2] 1&3 [!0&!1&!2] 1&4 [!0&1&!2] 1&4&5 [!0&!1&2] 1&4 [!0&1&2] 1&4&5 [!0&1] 2&6 [!0&2] 3&6 [!0&!2] 3&6 [0&!1&!2] 4&6 [0&1&!2] 4&5&6 [0&!1&2] 4&6 [0&1&2] 4&5&6 State: 1 ""FGa"" [0] 1 [!0] 1 {0} State: 2 ""Gb"" [1] 2 State: 3 ""GFc"" [2] 3 {2} [!2] 3 {1} State: 4 ""FG!c"" [!2] 4 [2] 4 {3} State: 5 ""F!b"" [!1] 7 [1] 5 {4} State: 6 ""GF!a"" [!0] 6 {6} [0] 6 {5} State: 7 ""t"" [t] 7 --END--"
"((F(G(a))) & (((a) & ((G(b)) | (G(F(c))))) | ((!(a)) & (F(G(!(c)))) & (F(!(b)))))) | ((G(F(!(a)))) & (((a) & (F(G(!(c)))) & (F(!(b)))) | ((!(a)) & ((G(b)) | (G(F(c)))))))","ltl3ba","ok",0,0.0096678,12,26,104,1,12,3,1,0,"HOA: v1 name: ""VWAA for ((<>([](a))) && (((a) && (([](b)) || ([](<>(c))))) || ((!(a)) && (<>([](!(c)))) && (<>(!(b)))))) || (([](<>(!(a)))) && (((a) && (<>([](!(c)))) && (<>(!(b)))) || ((!(a)) && (([](b)) || ([](<>(c)))))))"" States: 12 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels state-acc univ-branch very-weak --BODY-- State: 0 ""((FG(a) && (((a) && (G(b) || GF(c))) || ((!((a)) && FG!((c))) && F!((b))))) || (GF!((a)) && ((((a) && FG!((c))) && F!((b))) || (!((a)) && (G(b) || GF(c))))))"" [0&1] 8&9 [0] 6&9 [!0&!1] 4&9 [!0&1] 3&4&9 [!0&1] 1&8 [!0] 1&6 [0&!1] 1&4 [0&1] 1&3&4 State: 1 ""GF!((a))"" [!0] 1 [0] 1&2 State: 2 ""F!((a))"" {0} [!0] 11 [0] 2 State: 3 ""F!((b))"" {0} [!1] 11 [1] 3 State: 4 ""FG!((c))"" {0} [!2] 5 [t] 4 State: 5 ""G!((c))"" [!2] 5 State: 6 ""GF(c)"" [2] 6 [!2] 6&7 State: 7 ""F(c)"" {0} [2] 11 [!2] 7 State: 8 ""G(b)"" [1] 8 State: 9 ""FG(a)"" {0} [0] 10 [t] 9 State: 10 ""G(a)"" [0] 10 State: 11 ""t"" [t] 11 --END--"
"F((G(a)) | (G(F((!(a)) | (b)))))","fmerg","ok",0,0.00243418,3,6,14,3,3,1,1,1,"HOA: v1 name: ""SLAA for F(Ga | GF(!a | b))"" States: 3 Start: 0 AP: 2 ""a"" ""b"" Acceptance: 3 (Fin(1)|Fin(2)) & Fin(0) properties: trans-labels explicit-labels trans-acc complete univ-branch --BODY-- State: 0 ""F(Ga | GF(!a | b))"" [0] 0 {2} [!0 | 1] 0 {1} [0&!1] 0&1 {1} State: 1 ""F(!a | b)"" [!0 | 1] 2 [0&!1] 1 {0} State: 2 ""t"" [t] 2 --END--"
"F((G(a)) | (G(F((!(a)) | (b)))))","basic","ok",0,0.00247671,5,10,24,1,5,1,1,0,"HOA: v1 name: ""SLAA for F(Ga | GF(!a | b))"" States: 5 Start: 0 AP: 2 ""a"" ""b"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc univ-branch --BODY-- State: 0 ""F(Ga | GF(!a | b))"" [0] 1 [!0 | 1] 2 [0&!1] 2&3 [t] 0 {0} State: 1 ""Ga"" [0] 1 State: 2 ""GF(!a | b)"" [!0 | 1] 2 [0&!1] 2&3 State: 3 ""F(!a | b)"" [!0 | 1] 4 [0&!1] 3 {0} State: 4 ""t"" [t] 4 --END--"
"F((G(a)) | (G(F((!(a)) | (b)))))","fgmerg","ok",0,0.0039381,1,3,6,5,1,1,1,1,"HOA: v1 name: ""SLAA for F(Ga | GF(!a | b))"" States: 1 Start: 0 AP: 2 ""a"" ""b"" Acceptance: 5 (Fin(3)|Fin(4)) & Fin(0) & (Inf(2) | Fin(1)) properties: trans-labels explicit-labels trans-acc complete --BODY-- State: 0 ""F(Ga | GF(!a | b))"" [0] 0 {4} [!0 | 1] 0 {2 3} [0&!1] 0 {1 3} --END--"
"F((G(a)) | (G(F((!(a)) | (b)))))","ltl3ba","ok",0,0.0104034,5,9,24,1,5,1,1,0,"HOA: v1 name: ""VWAA for <>(([](a)) || ([](<>((!(a)) || (b)))))"" States: 5 Start: 0 AP: 2 ""a"" ""b"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels state-acc univ-branch very-weak --BODY-- State: 0 ""F(G(a) || GF(!((a)) || (b)))"" {0} [0] 3 [t] 1 [t] 0 State: 1 ""GF(!((a)) || (b))"" [!0 | 1] 1 [0&!1] 1&2 State: 2 ""F(!((a)) || (b))"" {0} [!0 | 1] 4 [0&!1] 2 State: 3 ""G(a)"" [0] 3 State: 4 ""t"" [t] 4 --END--"
"G((a) & (F(G(b))) & (F((a) & (c))))","fmerg","ok",0,0.00306423,4,7,28,1,4,0,0,0,"HOA: v1 name: ""SLAA for G(a & FGb & F(a & c))"" States: 4 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc deterministic univ-branch --BODY-- State: 0 ""G(a & FGb & F(a & c))"" [0&2] 0&1 [0&!2] 0&1&2 State: 1 ""FGb"" [1] 1 [!1] 1 {0} State: 2 ""F(a & c)"" [0&2] 3 [!0 | !2] 2 {0} State: 3 ""t"" [t] 3 --END--"
"G((a) & (F(G(b))) & (F((a) & (c))))","basic","ok",0,0.00280449,5,10,38,1,5,2,1,0,"HOA: v1 name: ""SLAA for G(a & FGb & F(a & c))"" States: 5 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc univ-branch --BODY-- State: 0 ""G(a & FGb & F(a & c))"" [0&1&2] 0&1 [0&1&!2] 0&1&2 [0&2] 0&3 [0&!2] 0&2&3 State: 1 ""Gb"" [1] 1 State: 2 ""F(a & c)"" [0&2] 4 [!0 | !2] 2 {0} State: 3 ""FGb"" [1] 1 [t] 3 {0} State: 4 ""t"" [t] 4 --END--"
"G((a) & (F(G(b))) & (F((a) & (c))))","fgmerg","ok",0,0.0025772,1,4,4,3,1,0,0,0,"HOA: v1 name: ""SLAA for G(a & FGb & F(a & c))"" States: 1 Start: 0 AP: 3 ""a"" ""b"" ""c"" Acceptance: 3 (Inf(2) | Fin(1)) & Fin(0) properties: trans-labels explicit-labels trans-acc deterministic --BODY-- State: 0 ""G(a & FGb & F(a & c))"" [0&1&2] 0 {2} [0&1&!2] 0 {1} [0&!1&2] 0 {0 2} [0&!1&!2] 0 {0 1} --END--"
"G((a) & (F(G(b))) & (F((a) & (c))))","ltl3ba","ok",0,0.0104708,5,8,36,1,5,1,1,0,"HOA: v1 name: ""VWAA for []((a) && (<>([](b))) && (<>((a) && (c))))"" States: 5 Start: 0 AP: 3 ""a"" ""b"" ""c"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels state-acc univ-branch very-weak --BODY-- State: 0 ""G(((a) && FG(b)) && F((a) && (c)))"" [0&2] 0&2 [0&!2] 0&1&2 State: 1 ""F((a) && (c))"" {0} [0&2] 4 [!0 | !2] 1 State: 2 ""FG(b)"" {0} [1] 3 [t] 2 State: 3 ""G(b)"" [1] 3 State: 4 ""t"" [t] 4 --END--"
