"formula","tool","exit_status","exit_code","time","states","edges","transitions","acc","scc","nondet_states","nondet_aut","complete_aut","automaton"
"X(F((a) | (G(b))))","ltl3tela_d","ok",0,0.00599775,3,5,12,1,3,0,0,1,"HOA: v1 States: 3 Start: 0 AP: 2 ""a"" ""b"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [t] 1 State: 1 [!0&1] 1 [!0&!1] 1 {0} [0] 2 State: 2 [t] 2 --END--"
"X(F((a) | (G(b))))","ltl2tgba_d","ok",0,0.00504531,3,5,12,1,3,0,0,1,"HOA: v1 name: ""FGb | XFa"" States: 3 Start: 0 AP: 2 ""a"" ""b"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [t] 1 State: 1 [!0&1] 1 [!0&!1] 1 {0} [0] 2 State: 2 [t] 2 --END--"
"X(F((a) | (G(b))))","delag","ok",0,0.401376,3,12,12,2,3,0,0,1,"HOA: v1 States: 3 Start: 0 AP: 2 ""a"" ""b"" acc-name: generalized-co-Buchi 2 Acceptance: 2 Fin(0)|Fin(1) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [!0&!1] 1 {0 1} [0&!1] 1 {0 1} [!0&1] 1 {1} [0&1] 1 {1} State: 1 [!0&!1] 1 {0 1} [0&!1] 2 [!0&1] 1 {1} [0&1] 2 State: 2 [!0&!1] 2 [0&!1] 2 [!0&1] 2 [0&1] 2 --END--"
"X(F((a) | (G(b))))","rabinizer4","ok",0,0.571463,3,5,12,1,3,0,0,1,"HOA: v1 States: 3 Start: 0 AP: 2 ""a"" ""b"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [t] 1 State: 1 [!0&!1] 1 {0} [0] 2 [!0&1] 1 State: 2 [t] 2 --END--"
"X((a) & (F(G(b))))","ltl3tela_alt","ok",0,0.0165277,3,4,10,1,3,0,0,0,"HOA: v1 States: 3 Start: 0 AP: 2 ""a"" ""b"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc deterministic --BODY-- State: 0 [t] 1 State: 1 [0] 2 State: 2 [1] 2 [!1] 2 {0} --END--"
"X((a) & (F(G(b))))","ltl3tela_d","ok",0,0.0204822,3,4,10,1,3,0,0,0,"HOA: v1 States: 3 Start: 0 AP: 2 ""a"" ""b"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc deterministic --BODY-- State: 0 [t] 1 State: 1 [0] 2 State: 2 [1] 2 [!1] 2 {0} --END--"
"X((a) & (F(G(b))))","ltl2tgba_d","ok",0,0.0167712,3,4,10,1,3,0,0,0,"HOA: v1 name: ""FGb & Xa"" States: 3 Start: 0 AP: 2 ""a"" ""b"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc deterministic --BODY-- State: 0 [t] 1 State: 1 [0] 2 State: 2 [1] 2 [!1] 2 {0} --END--"
"X((a) & (F(G(b))))","delag","ok",0,0.436435,3,10,10,2,3,0,0,0,"HOA: v1 States: 3 Start: 0 AP: 2 ""a"" ""b"" Acceptance: 2 Fin(0) & Fin(1) properties: trans-labels explicit-labels trans-acc deterministic --BODY-- State: 0 [!0&!1] 1 {1} [0&!1] 1 {1} [!0&1] 1 {1} [0&1] 1 {1} State: 1 [0&!1] 2 {1} [0&1] 2 {1} State: 2 [!0&!1] 2 {0} [0&!1] 2 {0} [!0&1] 2 [0&1] 2 --END--"
"X((a) & (F(G(b))))","rabinizer4","ok",0,0.537668,3,4,10,1,3,0,0,0,"HOA: v1 States: 3 Start: 0 AP: 2 ""a"" ""b"" acc-name: co-Buchi Acceptance: 1 Fin(0) properties: trans-labels explicit-labels trans-acc deterministic --BODY-- State: 0 [t] 1 State: 1 [0] 2 State: 2 [!1] 2 {0} [1] 2 --END--"
"G(F(a))","ltl3tela_alt","ok",0,0.0112146,1,2,2,1,1,0,0,1,"HOA: v1 States: 1 Start: 0 AP: 1 ""a"" acc-name: Buchi Acceptance: 1 Inf(0) properties: trans-labels explicit-labels trans-acc complete deterministic --BODY-- State: 0 [!0] 0 [0] 0 {0} --END--"
