"formula","tool","exit_status","exit_code","time","states","edges","transitions","acc","scc","nondet_states","nondet_aut","complete_aut"
"(a) R ((G(b)) | ((!(b)) & (X(F(!(b))))))","rabinizer4","ok",0,0.626691,8,17,24,2,8,0,0,0
"(a) R ((G(b)) | ((!(b)) & (X(F(!(b))))))","ltl2tgba-DG","ok",0,0.0189922,5,9,16,1,5,0,0,0
"(a) R ((G(b)) | ((!(b)) & (X(F(!(b))))))","delag","ok",0,0.630756,6,18,18,2,6,0,0,0
"(a) R ((G(b)) | ((!(b)) & (X(F(!(b))))))","ltl3tela-D1","ok",0,0.0155603,5,9,16,1,5,0,0,0
"G((X(a)) | ((b) W (c)))","rabinizer4","ok",0,0.499135,4,16,25,3,1,0,0,0
"G((X(a)) | ((b) W (c)))","ltl2tgba-DG","ok",0,0.0198942,4,12,25,1,1,0,0,0
"G((X(a)) | ((b) W (c)))","delag","ok",0,0.417648,4,25,25,1,1,0,0,0
"G((X(a)) | ((b) W (c)))","ltl3tela-D1","ok",0,0.0150592,4,12,25,0,1,0,0,0
"X(G(a))","rabinizer4","ok",0,0.377731,2,2,3,1,2,0,0,0
"X(G(a))","ltl2tgba-DG","ok",0,0.00953362,2,2,3,1,2,0,0,0
"X(G(a))","delag","ok",0,0.356828,2,3,3,1,2,0,0,0
"X(G(a))","ltl3tela-D1","ok",0,0.0117387,2,2,3,0,2,0,0,0
"G(a)","rabinizer4","ok",0,0.413197,1,1,1,1,1,0,0,0
"G(a)","ltl2tgba-DG","ok",0,0.0081947,1,1,1,1,1,0,0,0
"G(a)","delag","ok",0,0.370692,1,1,1,1,1,0,0,0
"G(a)","ltl3tela-D1","ok",0,0.0109736,1,1,1,0,1,0,0,0
"((X(a)) & ((b) W ((c) U (X(!(d)))))) | ((X(!(a))) & ((!(b)) M ((!(c)) R (X(d)))))","rabinizer4","ok",0,0.617569,13,36,144,2,13,0,0,0
"((X(a)) & ((b) W ((c) U (X(!(d)))))) | ((X(!(a))) & ((!(b)) M ((!(c)) R (X(d)))))","ltl2tgba-DG","ok",0,0.0084807,11,31,128,1,11,0,0,0
