"formula","tool","exit_status","exit_code","time","states","edges","transitions","acc","scc","nondet_states","nondet_aut","complete_aut"
"(a) R ((G(b)) | ((!(b)) & (X(F(!(b))))))","ltl2tgba-DG","ok",0,0.00669602,5,9,16,1,5,0,0,0
"(a) R ((G(b)) | ((!(b)) & (X(F(!(b))))))","ltl3tela-D1","ok",0,0.0128567,5,9,16,1,5,0,0,0
"(a) R ((G(b)) | ((!(b)) & (X(F(!(b))))))","delag","ok",0,0.833418,5,9,16,1,5,0,0,0
"(a) R ((G(b)) | ((!(b)) & (X(F(!(b))))))","rabinizer4","ok",0,0.829416,5,9,16,1,5,0,0,0
"G((X(a)) | ((b) W (c)))","ltl2tgba-DG","ok",0,0.00702344,4,12,25,1,1,0,0,0
"G((X(a)) | ((b) W (c)))","ltl3tela-D1","ok",0,0.0111956,4,12,25,0,1,0,0,0
"G((X(a)) | ((b) W (c)))","delag","ok",0,0.520783,4,12,25,1,1,0,0,0
"G((X(a)) | ((b) W (c)))","rabinizer4","ok",0,0.665239,4,12,25,1,1,0,0,0
"X(G(a))","ltl2tgba-DG","ok",0,0.00671712,2,2,3,1,2,0,0,0
"X(G(a))","ltl3tela-D1","ok",0,0.00502481,2,2,3,0,2,0,0,0
"X(G(a))","delag","ok",0,0.497327,2,2,3,1,2,0,0,0
"X(G(a))","rabinizer4","ok",0,0.513956,2,2,3,1,2,0,0,0
"G(a)","ltl2tgba-DG","ok",0,0.00616704,1,1,1,1,1,0,0,0
"G(a)","ltl3tela-D1","ok",0,0.00341936,1,1,1,0,1,0,0,0
"G(a)","delag","ok",0,0.439094,1,1,1,1,1,0,0,0
"G(a)","rabinizer4","ok",0,0.508442,1,1,1,1,1,0,0,0
"((X(a)) & ((b) W ((c) U (X(!(d)))))) | ((X(!(a))) & ((!(b)) M ((!(c)) R (X(d)))))","ltl2tgba-DG","ok",0,0.00992372,11,31,128,1,11,0,0,0
"((X(a)) & ((b) W ((c) U (X(!(d)))))) | ((X(!(a))) & ((!(b)) M ((!(c)) R (X(d)))))","ltl3tela-D1","ok",0,0.0387978,11,31,128,1,11,0,0,0
"((X(a)) & ((b) W ((c) U (X(!(d)))))) | ((X(!(a))) & ((!(b)) M ((!(c)) R (X(d)))))","delag","ok",0,0.990216,11,31,128,1,11,0,0,0
"((X(a)) & ((b) W ((c) U (X(!(d)))))) | ((X(!(a))) & ((!(b)) M ((!(c)) R (X(d)))))","rabinizer4","ok",0,0.911357,11,31,128,1,11,0,0,0
"F(G(((X(a)) & ((b) W (c))) | ((X(!(a))) & ((!(b)) M (!(c))))))","ltl2tgba-DG","ok",0,0.0112205,6,31,48,2,2,0,0,1
"F(G(((X(a)) & ((b) W (c))) | ((X(!(a))) & ((!(b)) M (!(c))))))","ltl3tela-D1","ok",0,0.046849,6,31,48,2,2,0,0,1
"F(G(((X(a)) & ((b) W (c))) | ((X(!(a))) & ((!(b)) M (!(c))))))","delag","ok",0,1.05081,10,53,80,3,1,0,0,1
"F(G(((X(a)) & ((b) W (c))) | ((X(!(a))) & ((!(b)) M (!(c))))))","rabinizer4","ok",0,0.909679,7,41,56,8,1,0,0,1
"X(X(F((a) & (X((a) W (F((b) W (c))))))))","ltl2tgba-DG","ok",0,0.00932628,7,17,56,2,5,0,0,1
"X(X(F((a) & (X((a) W (F((b) W (c))))))))","ltl3tela-D1","ok",0,0.0189427,6,15,48,2,5,0,0,1
"X(X(F((a) & (X((a) W (F((b) W (c))))))))","delag","ok",0,0.988774,5,10,40,4,5,0,0,1
"X(X(F((a) & (X((a) W (F((b) W (c))))))))","rabinizer4","ok",0,1.0264,5,10,40,5,5,0,0,1
"((a) | (X((a) & ((a) W (b))))) M (G(c))","ltl2tgba-DG","ok",0,0.00963728,2,3,4,1,2,0,0,0
"((a) | (X((a) & ((a) W (b))))) M (G(c))","ltl3tela-D1","ok",0,0.0156315,2,3,4,1,2,0,0,0
"((a) | (X((a) & ((a) W (b))))) M (G(c))","delag","ok",0,0.922746,2,3,4,1,2,0,0,0
"((a) | (X((a) & ((a) W (b))))) M (G(c))","rabinizer4","ok",0,0.951712,2,3,4,1,2,0,0,0
"(a) | ((F(b)) R (((!(c)) & (G(!(d)))) | ((c) & (F(d)))))","ltl2tgba-DG","ok",0,0.0112614,12,39,166,1,11,0,0,0
"(a) | ((F(b)) R (((!(c)) & (G(!(d)))) | ((c) & (F(d)))))","ltl3tela-D1","ok",0,0.038325,12,39,166,1,11,0,0,0
"(a) | ((F(b)) R (((!(c)) & (G(!(d)))) | ((c) & (F(d)))))","delag","ok",0,0.929161,14,46,190,5,13,0,0,0
"(a) | ((F(b)) R (((!(c)) & (G(!(d)))) | ((c) & (F(d)))))","rabinizer4","ok",0,0.859774,12,39,166,1,11,0,0,0
"G(F(a))","ltl2tgba-DG","ok",0,0.00619274,1,2,2,1,1,0,0,1
"G(F(a))","ltl3tela-D1","ok",0,0.00544664,1,2,2,1,1,0,0,1
"G(F(a))","delag","ok",0,0.44007,1,2,2,1,1,0,0,1
"G(F(a))","rabinizer4","ok",0,0.522655,1,2,2,1,1,0,0,1
"((a) & (((b) & (G(a))) | ((!(b)) & (F(!(a)))))) | ((!(a)) & (((b) & (F(!(a)))) | ((!(b)) & (G(a)))))","ltl2tgba-DG","ok",0,0.00746086,4,7,13,1,4,0,0,0
"((a) & (((b) & (G(a))) | ((!(b)) & (F(!(a)))))) | ((!(a)) & (((b) & (F(!(a)))) | ((!(b)) & (G(a)))))","ltl3tela-D1","ok",0,0.0126252,4,7,13,1,4,0,0,0
"((a) & (((b) & (G(a))) | ((!(b)) & (F(!(a)))))) | ((!(a)) & (((b) & (F(!(a)))) | ((!(b)) & (G(a)))))","delag","ok",0,0.690103,4,7,13,1,4,0,0,0
"((a) & (((b) & (G(a))) | ((!(b)) & (F(!(a)))))) | ((!(a)) & (((b) & (F(!(a)))) | ((!(b)) & (G(a)))))","rabinizer4","ok",0,0.731327,4,7,13,1,4,0,0,0
"(F(a)) U ((F((!(b)) | ((c) & (X(X(b)))) | ((!(c)) & (X(X(!(b))))))) R (d))","ltl2tgba-DG","ok",0,0.0169985,16,67,256,2,13,0,0,1
"(F(a)) U ((F((!(b)) | ((c) & (X(X(b)))) | ((!(c)) & (X(X(!(b))))))) R (d))","ltl3tela-D1","ok",0,0.085718,7,26,112,3,5,0,0,1
"(F(a)) U ((F((!(b)) | ((c) & (X(X(b)))) | ((!(c)) & (X(X(!(b))))))) R (d))","delag","ok",0,1.18925,21,96,336,4,6,0,0,1
"(F(a)) U ((F((!(b)) | ((c) & (X(X(b)))) | ((!(c)) & (X(X(!(b))))))) R (d))","rabinizer4","ok",0,0.882699,8,31,128,2,6,0,0,1
"(G(a)) R ((((b) & (((c) & (!(d))) | ((!(c)) & (d)))) | ((!(b)) & (((!(c)) & (!(d))) | ((c) & (d))))) & (X((((b) & (((c) & (!(d))) | ((!(c)) & (d)))) | ((!(b)) & (((!(c)) & (!(d))) | ((c) & (d))))) U (d))))","ltl2tgba-DG","ok",0,0.0095808,5,17,46,4,3,0,0,0
"(G(a)) R ((((b) & (((c) & (!(d))) | ((!(c)) & (d)))) | ((!(b)) & (((!(c)) & (!(d))) | ((c) & (d))))) & (X((((b) & (((c) & (!(d))) | ((!(c)) & (d)))) | ((!(b)) & (((!(c)) & (!(d))) | ((c) & (d))))) U (d))))","ltl3tela-D1","ok",0,0.0245012,5,17,46,3,3,0,0,0
"(G(a)) R ((((b) & (((c) & (!(d))) | ((!(c)) & (d)))) | ((!(b)) & (((!(c)) & (!(d))) | ((c) & (d))))) & (X((((b) & (((c) & (!(d))) | ((!(c)) & (d)))) | ((!(b)) & (((!(c)) & (!(d))) | ((c) & (d))))) U (d))))","delag","ok",0,1.16998,5,17,46,3,3,0,0,0
"(G(a)) R ((((b) & (((c) & (!(d))) | ((!(c)) & (d)))) | ((!(b)) & (((!(c)) & (!(d))) | ((c) & (d))))) & (X((((b) & (((c) & (!(d))) | ((!(c)) & (d)))) | ((!(b)) & (((!(c)) & (!(d))) | ((c) & (d))))) U (d))))","rabinizer4","ok",0,0.962196,5,17,46,3,3,0,0,0
"(((!(a)) | (X(b))) U (X((F(a)) U (X(c))))) M (X(!(b)))","ltl2tgba-DG","ok",0,0.00946171,14,47,104,1,8,0,0,0
"(((!(a)) | (X(b))) U (X((F(a)) U (X(c))))) M (X(!(b)))","ltl3tela-D1","ok",0,0.0327445,14,47,104,1,8,0,0,0
"(((!(a)) | (X(b))) U (X((F(a)) U (X(c))))) M (X(!(b)))","delag","ok",0,0.734088,14,47,104,1,8,0,0,0
"(((!(a)) | (X(b))) U (X((F(a)) U (X(c))))) M (X(!(b)))","rabinizer4","ok",0,0.853648,14,47,104,1,8,0,0,0
"a","ltl2tgba-DG","ok",0,0.00649913,2,2,3,1,2,0,0,0
"a","ltl3tela-D1","ok",0,0.00299961,2,2,3,0,2,0,0,0
"a","delag","ok",0,0.473302,2,2,3,1,2,0,0,0
"a","rabinizer4","ok",0,0.471534,2,2,3,1,2,0,0,0
"((a) M (X((b) W (c)))) W (X((c) M (G(d))))","ltl2tgba-DG","ok",0,0.0110282,13,64,160,4,4,0,0,0
"((a) M (X((b) W (c)))) W (X((c) M (G(d))))","ltl3tela-D1","ok",0,0.0684919,13,64,160,3,4,0,0,0
"((a) M (X((b) W (c)))) W (X((c) M (G(d))))","delag","ok",0,1.24559,19,96,238,3,9,0,0,0
"((a) M (X((b) W (c)))) W (X((c) M (G(d))))","rabinizer4","ok",0,1.03474,13,124,160,11,4,0,0,0
"(X(!(a))) M ((a) & (G(b)) & ((c) U ((b) R (d))))","ltl2tgba-DG","ok",0,0.00887575,5,12,30,1,4,0,0,0
"(X(!(a))) M ((a) & (G(b)) & ((c) U ((b) R (d))))","ltl3tela-D1","ok",0,0.0238676,5,12,30,1,4,0,0,0
"(X(!(a))) M ((a) & (G(b)) & ((c) U ((b) R (d))))","delag","ok",0,0.797478,5,12,30,1,4,0,0,0
