"formula","tool","exit_status","exit_code","time","states","edges","transitions","acc","scc","nondet_states","nondet_aut","complete_aut"
"(G(F(p1))) & (G(F(p2)))","ltl3tela-D1","ok",0,0.0124282,1,4,4,2,1,0,0,1
"(G(F(p1))) & (G(F(p2)))","delag","ok",0,0.509886,1,4,4,2,1,0,0,1
"(G(F(p1))) & (G(F(p2)))","rabinizer4","ok",0,0.604965,1,4,4,2,1,0,0,1
"(G(F(p1))) & (G(F(p2))) & (G(F(p3)))","ltl2tgba-DG","ok",0,0.00970601,1,8,8,3,1,0,0,1
"(G(F(p1))) & (G(F(p2))) & (G(F(p3)))","ltl3tela-D1","ok",0,0.0208093,1,8,8,3,1,0,0,1
"(G(F(p1))) & (G(F(p2))) & (G(F(p3)))","delag","ok",0,0.492082,1,8,8,3,1,0,0,1
"(G(F(p1))) & (G(F(p2))) & (G(F(p3)))","rabinizer4","ok",0,0.58504,1,8,8,3,1,0,0,1
"(G(F(p1))) & (G(F(p2))) & (G(F(p3))) & (G(F(p4)))","ltl2tgba-DG","ok",0,0.0100651,1,16,16,4,1,0,0,1
"(G(F(p1))) & (G(F(p2))) & (G(F(p3))) & (G(F(p4)))","ltl3tela-D1","ok",0,0.0615211,1,16,16,4,1,0,0,1
"(G(F(p1))) & (G(F(p2))) & (G(F(p3))) & (G(F(p4)))","delag","ok",0,0.521876,1,16,16,4,1,0,0,1
"(G(F(p1))) & (G(F(p2))) & (G(F(p3))) & (G(F(p4)))","rabinizer4","ok",0,0.635575,1,16,16,4,1,0,0,1
"(G(F(p1))) & (G(F(p2))) & (G(F(p3))) & (G(F(p4))) & (G(F(p5)))","ltl2tgba-DG","ok",0,0.0149283,1,32,32,5,1,0,0,1
"(G(F(p1))) & (G(F(p2))) & (G(F(p3))) & (G(F(p4))) & (G(F(p5)))","ltl3tela-D1","ok",0,0.315092,1,32,32,5,1,0,0,1
"(G(F(p1))) & (G(F(p2))) & (G(F(p3))) & (G(F(p4))) & (G(F(p5)))","delag","ok",0,0.544046,1,32,32,5,1,0,0,1
"(G(F(p1))) & (G(F(p2))) & (G(F(p3))) & (G(F(p4))) & (G(F(p5)))","rabinizer4","ok",0,0.790165,1,32,32,5,1,0,0,1
"(F(p1)) & (F(q1))","ltl2tgba-DG","ok",0,0.00634496,4,9,16,1,4,0,0,1
"(F(p1)) & (F(q1))","ltl3tela-D1","ok",0,0.00612738,4,9,16,1,4,0,0,1
"(F(p1)) & (F(q1))","delag","ok",0,0.518207,4,9,16,1,4,0,0,1
"(F(p1)) & (F(q1))","rabinizer4","ok",0,0.549799,4,9,16,1,4,0,0,1
"(F((p1) & (F(p2)))) & (F((q1) & (F(q2))))","ltl2tgba-DG","ok",0,0.0100543,9,36,144,1,9,0,0,1
