"formula","tool","exit_status","exit_code","time","states","edges","transitions","acc","scc","nondet_states","nondet_aut","complete_aut"
"(G(F(p1))) & (G(F(p2)))","delag","ok",0,0.37481,1,4,4,2,1,0,0,1
"(G(F(p1))) & (G(F(p2)))","ltl3tela-D1","ok",0,0.00936968,1,4,4,2,1,0,0,1
"(G(F(p1))) & (G(F(p2))) & (G(F(p3)))","rabinizer4","ok",0,0.450325,1,8,8,4,1,0,0,1
"(G(F(p1))) & (G(F(p2))) & (G(F(p3)))","ltl2tgba-DG","ok",0,0.0084149,1,8,8,3,1,0,0,1
"(G(F(p1))) & (G(F(p2))) & (G(F(p3)))","delag","ok",0,0.410558,1,8,8,3,1,0,0,1
"(G(F(p1))) & (G(F(p2))) & (G(F(p3)))","ltl3tela-D1","ok",0,0.0168473,1,8,8,3,1,0,0,1
"(G(F(p1))) & (G(F(p2))) & (G(F(p3))) & (G(F(p4)))","rabinizer4","ok",0,0.482215,1,16,16,5,1,0,0,1
"(G(F(p1))) & (G(F(p2))) & (G(F(p3))) & (G(F(p4)))","ltl2tgba-DG","ok",0,0.0320574,1,16,16,4,1,0,0,1
"(G(F(p1))) & (G(F(p2))) & (G(F(p3))) & (G(F(p4)))","delag","ok",0,0.416237,1,16,16,4,1,0,0,1
"(G(F(p1))) & (G(F(p2))) & (G(F(p3))) & (G(F(p4)))","ltl3tela-D1","ok",0,0.0459519,1,16,16,4,1,0,0,1
"(G(F(p1))) & (G(F(p2))) & (G(F(p3))) & (G(F(p4))) & (G(F(p5)))","rabinizer4","ok",0,0.528557,1,32,32,6,1,0,0,1
"(G(F(p1))) & (G(F(p2))) & (G(F(p3))) & (G(F(p4))) & (G(F(p5)))","ltl2tgba-DG","ok",0,0.0135213,1,32,32,5,1,0,0,1
"(G(F(p1))) & (G(F(p2))) & (G(F(p3))) & (G(F(p4))) & (G(F(p5)))","delag","ok",0,0.453714,1,32,32,5,1,0,0,1
"(G(F(p1))) & (G(F(p2))) & (G(F(p3))) & (G(F(p4))) & (G(F(p5)))","ltl3tela-D1","ok",0,0.277971,1,32,32,5,1,0,0,1
"(F(p1)) & (F(q1))","rabinizer4","ok",0,0.395014,4,9,16,2,4,0,0,1
"(F(p1)) & (F(q1))","ltl2tgba-DG","ok",0,0.0138853,4,9,16,1,4,0,0,1
"(F(p1)) & (F(q1))","delag","ok",0,0.419214,4,16,16,1,4,0,0,1
"(F(p1)) & (F(q1))","ltl3tela-D1","ok",0,0.00595447,4,9,16,1,4,0,0,1
"(F((p1) & (F(p2)))) & (F((q1) & (F(q2))))","rabinizer4","ok",0,0.455672,9,36,144,2,9,0,0,1
"(F((p1) & (F(p2)))) & (F((q1) & (F(q2))))","ltl2tgba-DG","ok",0,0.0275984,9,36,144,1,9,0,0,1
"(F((p1) & (F(p2)))) & (F((q1) & (F(q2))))","delag","ok",0,0.477953,9,144,144,1,9,0,0,1
"(F((p1) & (F(p2)))) & (F((q1) & (F(q2))))","ltl3tela-D1","ok",0,0.0401071,9,36,144,1,9,0,0,1
"(F((p1) & (F((p2) & (F(p3)))))) & (F((q1) & (F((q2) & (F(q3))))))","rabinizer4","ok",0,0.510614,16,100,1024,2,16,0,0,1
"(F((p1) & (F((p2) & (F(p3)))))) & (F((q1) & (F((q2) & (F(q3))))))","ltl2tgba-DG","ok",0,0.0141364,16,100,1024,1,16,0,0,1
"(F((p1) & (F((p2) & (F(p3)))))) & (F((q1) & (F((q2) & (F(q3))))))","delag","ok",0,0.559754,16,1024,1024,1,16,0,0,1
"(F((p1) & (F((p2) & (F(p3)))))) & (F((q1) & (F((q2) & (F(q3))))))","ltl3tela-D1","ok",0,0.0541097,16,100,1024,1,16,0,0,1
"(F((p1) & (F((p2) & (F((p3) & (F(p4)))))))) & (F((q1) & (F((q2) & (F((q3) & (F(q4))))))))","rabinizer4","ok",0,0.679608,25,225,6400,2,25,0,0,1
"(F((p1) & (F((p2) & (F((p3) & (F(p4)))))))) & (F((q1) & (F((q2) & (F((q3) & (F(q4))))))))","ltl2tgba-DG","ok",0,0.0985034,25,225,6400,1,25,0,0,1
"(F((p1) & (F((p2) & (F((p3) & (F(p4)))))))) & (F((q1) & (F((q2) & (F((q3) & (F(q4))))))))","delag","ok",0,0.714871,25,6400,6400,1,25,0,0,1
"(F((p1) & (F((p2) & (F((p3) & (F(p4)))))))) & (F((q1) & (F((q2) & (F((q3) & (F(q4))))))))","ltl3tela-D1","ok",0,0.256338,25,225,6400,1,25,0,0,1
"(F((p1) & (F((p2) & (F((p3) & (F((p4) & (F(p5)))))))))) & (F((q1) & (F((q2) & (F((q3) & (F((q4) & (F(q5))))))))))","rabinizer4","ok",0,0.689014,36,441,36864,2,36,0,0,1
"(F((p1) & (F((p2) & (F((p3) & (F((p4) & (F(p5)))))))))) & (F((q1) & (F((q2) & (F((q3) & (F((q4) & (F(q5))))))))))","ltl2tgba-DG","ok",0,0.221762,36,441,36864,1,36,0,0,1
"(F((p1) & (F((p2) & (F((p3) & (F((p4) & (F(p5)))))))))) & (F((q1) & (F((q2) & (F((q3) & (F((q4) & (F(q5))))))))))","delag","ok",0,1.14757,36,36864,36864,1,36,0,0,1
"(F((p1) & (F((p2) & (F((p3) & (F((p4) & (F(p5)))))))))) & (F((q1) & (F((q2) & (F((q3) & (F((q4) & (F(q5))))))))))","ltl3tela-D1","ok",0,0.74689,36,441,36864,1,36,0,0,1
"(F(p)) & (F(q))","rabinizer4","ok",0,0.428143,4,9,16,2,4,0,0,1
"(F(p)) & (F(q))","ltl2tgba-DG","ok",0,0.00963988,4,9,16,1,4,0,0,1
"(F(p)) & (F(q))","delag","ok",0,0.420767,4,16,16,1,4,0,0,1
"(F(p)) & (F(q))","ltl3tela-D1","ok",0,0.00656705,4,9,16,1,4,0,0,1
"(F((p) & (X(p)))) & (F((q) & (X(q))))","rabinizer4","ok",0,0.436679,9,25,36,2,4,0,0,1
"(F((p) & (X(p)))) & (F((q) & (X(q))))","ltl2tgba-DG","ok",0,0.0154825,9,25,36,1,4,0,0,1
"(F((p) & (X(p)))) & (F((q) & (X(q))))","delag","ok",0,0.430103,9,36,36,1,4,0,0,1
"(F((p) & (X(p)))) & (F((q) & (X(q))))","ltl3tela-D1","ok",0,0.00885036,9,25,36,1,4,0,0,1
"(F((p) & (X((p) & (X(p)))))) & (F((q) & (X((q) & (X(q))))))","rabinizer4","ok",0,0.546568,16,49,64,2,4,0,0,1
"(F((p) & (X((p) & (X(p)))))) & (F((q) & (X((q) & (X(q))))))","ltl2tgba-DG","ok",0,0.00780111,16,49,64,1,4,0,0,1
"(F((p) & (X((p) & (X(p)))))) & (F((q) & (X((q) & (X(q))))))","delag","ok",0,0.494197,16,64,64,1,4,0,0,1
"(F((p) & (X((p) & (X(p)))))) & (F((q) & (X((q) & (X(q))))))","ltl3tela-D1","ok",0,0.0490986,16,49,64,1,4,0,0,1
"(F((p) & (X((p) & (X((p) & (X(p)))))))) & (F((q) & (X((q) & (X((q) & (X(q))))))))","rabinizer4","ok",0,0.685059,25,81,100,2,4,0,0,1
"(F((p) & (X((p) & (X((p) & (X(p)))))))) & (F((q) & (X((q) & (X((q) & (X(q))))))))","ltl2tgba-DG","ok",0,0.0101523,25,81,100,1,4,0,0,1
"(F((p) & (X((p) & (X((p) & (X(p)))))))) & (F((q) & (X((q) & (X((q) & (X(q))))))))","delag","ok",0,0.514506,25,100,100,1,4,0,0,1
"(F((p) & (X((p) & (X((p) & (X(p)))))))) & (F((q) & (X((q) & (X((q) & (X(q))))))))","ltl3tela-D1","ok",0,0.0210035,25,81,100,1,4,0,0,1
"(F((p) & (X((p) & (X((p) & (X((p) & (X(p)))))))))) & (F((q) & (X((q) & (X((q) & (X((q) & (X(q))))))))))","rabinizer4","ok",0,0.657359,36,121,144,2,4,0,0,1
"(F((p) & (X((p) & (X((p) & (X((p) & (X(p)))))))))) & (F((q) & (X((q) & (X((q) & (X((q) & (X(q))))))))))","ltl2tgba-DG","ok",0,0.0105956,36,121,144,1,4,0,0,1
"(F((p) & (X((p) & (X((p) & (X((p) & (X(p)))))))))) & (F((q) & (X((q) & (X((q) & (X((q) & (X(q))))))))))","delag","ok",0,0.543558,36,144,144,1,4,0,0,1
"(F((p) & (X((p) & (X((p) & (X((p) & (X(p)))))))))) & (F((q) & (X((q) & (X((q) & (X((q) & (X(q))))))))))","ltl3tela-D1","ok",0,0.0359927,36,121,144,1,4,0,0,1
"(F((p) & (X(p)) & (X(X(p))))) & (F((q) & (X(q)) & (X(X(q)))))","rabinizer4","ok",0,0.524609,16,49,64,2,4,0,0,1
"(F((p) & (X(p)) & (X(X(p))))) & (F((q) & (X(q)) & (X(X(q)))))","ltl2tgba-DG","ok",0,0.00848223,16,49,64,1,4,0,0,1
"(F((p) & (X(p)) & (X(X(p))))) & (F((q) & (X(q)) & (X(X(q)))))","delag","ok",0,0.482895,16,64,64,1,4,0,0,1
"(F((p) & (X(p)) & (X(X(p))))) & (F((q) & (X(q)) & (X(X(q)))))","ltl3tela-D1","ok",0,0.0437927,16,49,64,1,4,0,0,1
"(F((p) & (X(p)) & (X(X(p))) & (X(X(X(p)))))) & (F((q) & (X(q)) & (X(X(q))) & (X(X(X(q))))))","rabinizer4","ok",0,0.548035,25,81,100,2,4,0,0,1
"(F((p) & (X(p)) & (X(X(p))) & (X(X(X(p)))))) & (F((q) & (X(q)) & (X(X(q))) & (X(X(X(q))))))","ltl2tgba-DG","ok",0,0.0108711,25,81,100,1,4,0,0,1
"(F((p) & (X(p)) & (X(X(p))) & (X(X(X(p)))))) & (F((q) & (X(q)) & (X(X(q))) & (X(X(X(q))))))","delag","ok",0,0.51356,25,100,100,1,4,0,0,1
"(F((p) & (X(p)) & (X(X(p))) & (X(X(X(p)))))) & (F((q) & (X(q)) & (X(X(q))) & (X(X(X(q))))))","ltl3tela-D1","ok",0,0.0225047,25,81,100,1,4,0,0,1
"(F((p) & (X(p)) & (X(X(p))) & (X(X(X(p)))) & (X(X(X(X(p))))))) & (F((q) & (X(q)) & (X(X(q))) & (X(X(X(q)))) & (X(X(X(X(q)))))))","rabinizer4","ok",0,0.664835,36,121,144,2,4,0,0,1
"(F((p) & (X(p)) & (X(X(p))) & (X(X(X(p)))) & (X(X(X(X(p))))))) & (F((q) & (X(q)) & (X(X(q))) & (X(X(X(q)))) & (X(X(X(X(q)))))))","ltl2tgba-DG","ok",0,0.0391737,36,121,144,1,4,0,0,1
"(F((p) & (X(p)) & (X(X(p))) & (X(X(X(p)))) & (X(X(X(X(p))))))) & (F((q) & (X(q)) & (X(X(q))) & (X(X(X(q)))) & (X(X(X(X(q)))))))","delag","ok",0,0.559042,36,144,144,1,4,0,0,1
"(F((p) & (X(p)) & (X(X(p))) & (X(X(X(p)))) & (X(X(X(X(p))))))) & (F((q) & (X(q)) & (X(X(q))) & (X(X(X(q)))) & (X(X(X(X(q)))))))","ltl3tela-D1","ok",0,0.048247,36,121,144,1,4,0,0,1
"G(!(p0))","rabinizer4","ok",0,0.440696,1,1,1,1,1,0,0,0
"G(!(p0))","ltl2tgba-DG","ok",0,0.0102804,1,1,1,1,1,0,0,0
"G(!(p0))","delag","ok",0,0.397816,1,1,1,1,1,0,0,0
"G(!(p0))","ltl3tela-D1","ok",0,0.0119124,1,1,1,0,1,0,0,0
"(F(p0)) -> ((!(p1)) U (p0))","rabinizer4","ok",0,0.509494,3,5,10,1,3,0,0,0
"(F(p0)) -> ((!(p1)) U (p0))","ltl2tgba-DG","ok",0,0.0140823,3,5,10,1,3,0,0,0
"(F(p0)) -> ((!(p1)) U (p0))","delag","ok",0,0.426974,3,10,10,2,3,0,0,0
"(F(p0)) -> ((!(p1)) U (p0))","ltl3tela-D1","ok",0,0.0185551,3,5,10,0,3,0,0,0
"G((p0) -> (G(!(p1))))","rabinizer4","ok",0,0.507325,2,3,5,1,2,0,0,0
"G((p0) -> (G(!(p1))))","ltl2tgba-DG","ok",0,0.0188824,2,3,5,1,2,0,0,0
"G((p0) -> (G(!(p1))))","delag","ok",0,0.437308,2,5,5,1,2,0,0,0
"G((p0) -> (G(!(p1))))","ltl3tela-D1","ok",0,0.00527266,2,3,5,0,2,0,0,0
"G(((p0) & (!(p1)) & (F(p1))) -> ((!(p2)) U (p1)))","rabinizer4","ok",0,0.580404,4,11,24,3,2,0,0,0
"G(((p0) & (!(p1)) & (F(p1))) -> ((!(p2)) U (p1)))","ltl2tgba-DG","ok",0,0.00841726,3,7,20,1,2,0,0,0
"G(((p0) & (!(p1)) & (F(p1))) -> ((!(p2)) U (p1)))","delag","ok",0,0.697575,3,20,20,6,2,0,0,0
"G(((p0) & (!(p1)) & (F(p1))) -> ((!(p2)) U (p1)))","ltl3tela-D1","ok",0,0.0337642,3,7,20,0,2,0,0,0
"G(((p0) & (!(p1))) -> ((!(p2)) W (p1)))","rabinizer4","ok",0,0.67862,2,6,13,3,1,0,0,0
"G(((p0) & (!(p1))) -> ((!(p2)) W (p1)))","ltl2tgba-DG","ok",0,0.00702807,2,4,13,1,1,0,0,0
"G(((p0) & (!(p1))) -> ((!(p2)) W (p1)))","delag","ok",0,0.547286,2,13,13,1,1,0,0,0
"G(((p0) & (!(p1))) -> ((!(p2)) W (p1)))","ltl3tela-D1","ok",0,0.0107988,2,4,13,0,1,0,0,0
"F(p0)","rabinizer4","ok",0,0.391555,2,3,4,2,2,0,0,1
"F(p0)","ltl2tgba-DG","ok",0,0.00598727,2,3,4,1,2,0,0,1
"F(p0)","delag","ok",0,0.388329,2,4,4,1,2,0,0,1
"F(p0)","ltl3tela-D1","ok",0,0.0121858,2,3,4,1,2,0,0,1
"(!(p0)) W ((!(p0)) & (p1))","rabinizer4","ok",0,0.502938,2,3,6,1,2,0,0,0
"(!(p0)) W ((!(p0)) & (p1))","ltl2tgba-DG","ok",0,0.00658243,2,3,6,1,2,0,0,0
"(!(p0)) W ((!(p0)) & (p1))","delag","ok",0,0.367007,2,6,6,1,2,0,0,0
"(!(p0)) W ((!(p0)) & (p1))","ltl3tela-D1","ok",0,0.00425163,2,3,6,0,2,0,0,0
"(G(!(p0))) | (F((p0) & (F(p1))))","rabinizer4","ok",0,0.457128,3,6,12,2,3,0,0,1
"(G(!(p0))) | (F((p0) & (F(p1))))","ltl2tgba-DG","ok",0,0.00775282,3,6,12,1,3,0,0,1
"(G(!(p0))) | (F((p0) & (F(p1))))","delag","ok",0,0.431739,3,12,12,2,3,0,0,1
"(G(!(p0))) | (F((p0) & (F(p1))))","ltl3tela-D1","ok",0,0.00806504,3,6,12,1,3,0,0,1
